Umidade,Temperatura
51.0,22.7
50.9,22.6
50.9,22.6
50.9,22.6
50.9,22.6
50.9,22.6
78.0,27.0
50.9,22.6
78.0,27.0
50.9,22.6
50.9,22.6
50.9,22.6
50.9,22.6
50.8,22.6
50.9,22.6
50.9,22.6
50.9,22.6
50.9,22.6
50.9,22.6
50.9,22.7
50.9,22.7
50.9,22.6
50.9,22.6
50.9,22.6
50.9,22.6
50.9,22.6
50.9,22.6
50.9,22.6
78.5,27.0
50.9,22.6
50.9,22.6
50.9,22.6
51.0,22.7
51.0,22.7
51.0,22.7
50.9,22.7
50.9,22.6
50.9,22.6
50.8,22.6
50.8,22.6
50.8,22.6
50.9,22.6
50.9,22.6
50.9,22.6
51.0,22.7
51.0,22.7
51.0,22.7
78.0,27.0
51.0,22.6
78.0,27.0
51.0,22.6
51.0,22.7
51.0,22.6
78.0,27.0
51.0,22.7
78.0,27.0
51.0,22.7
51.0,22.6
51.0,22.6
51.0,22.7
51.0,22.7
78.0,27.0
51.0,22.7
51.0,22.6
51.0,22.6
51.0,22.7
51.0,22.6
50.9,22.6
50.9,22.6
51.0,22.7
51.0,22.7
51.0,22.7
51.0,22.7
51.0,22.7
51.0,22.7
51.0,22.7
51.0,22.7
51.0,22.7
51.0,22.7
51.0,22.7
51.0,22.7
51.0,22.6
51.0,22.6
78.0,27.0
51.0,22.6
51.0,22.6
51.0,22.7
51.0,22.7
78.0,27.0
51.0,22.7
78.0,27.0
51.0,22.7
51.0,22.7
51.0,22.7
51.0,22.7
51.0,22.7
51.0,22.7
51.0,22.7
51.0,22.7
51.1,22.7
51.1,22.7
51.1,22.7
51.0,22.7
51.0,22.7
51.1,22.7
51.1,22.7
51.0,22.6
51.1,22.7
78.0,27.0
51.1,22.7
78.0,27.0
51.1,22.7
51.1,22.6
51.1,22.7
78.0,27.0
51.1,22.6
78.0,27.0
51.1,22.6
51.1,22.6
51.1,22.7
51.1,22.6
51.1,22.6
51.2,22.7
78.5,27.0
51.2,22.7
51.1,22.6
78.5,27.0
51.1,22.6
51.1,22.6
78.5,27.0
51.1,22.6
51.1,22.6
51.1,22.6
51.1,22.6
51.1,22.6
51.1,22.6
51.1,22.6
51.1,22.6
51.1,22.6
51.0,22.6
51.0,22.6
50.9,22.6
50.9,22.6
50.7,22.6
50.5,22.6
78.0,27.0
50.4,22.6
78.0,27.0
50.3,22.6
78.0,27.0
50.2,22.6
50.1,22.6
78.0,27.0
50.0,22.6
50.0,22.6
78.0,27.0
49.9,22.5
49.9,22.5
78.0,27.0
49.7,22.5
78.0,27.0
49.7,22.5
49.7,22.5
49.6,22.5
49.5,22.5
49.5,22.5
49.5,22.5
49.6,22.5
49.6,22.4
49.7,22.5
78.0,27.0
49.6,22.5
78.0,27.0
49.5,22.4
78.0,27.0
49.5,22.5
49.4,22.4
49.4,22.4
49.3,22.4
49.3,22.4
49.3,22.4
49.2,22.4
49.1,22.4
49.2,22.4
49.2,22.4
49.3,22.4
49.2,22.3
49.3,22.4
49.2,22.3
49.2,22.3
49.2,22.3
49.1,22.3
49.1,22.3
49.1,22.3
49.1,22.3
49.1,22.3
78.0,27.0
49.1,22.3
78.0,27.0
49.1,22.3
49.1,22.3
49.1,22.3
78.0,27.0
49.1,22.3
49.1,22.3
78.0,27.0
49.0,22.3
49.0,22.3
48.9,22.2
48.9,22.3
48.9,22.3
48.9,22.2
48.9,22.2
78.0,27.0
48.8,22.2
48.9,22.2
48.8,22.2
78.0,27.0
48.9,22.2
48.9,22.2
48.9,22.2
48.9,22.2
